ID,food,fate,date.max,mass.max,pop,para,HS,bin,date.death,survived,date.hatch,mass.hatch,date.3rd,mass.3rd,date.para,num.para,date.hs,date.4th,mass.4th,date.5th,mass.5th,date.6th,mass.6th,date.7th,mass.7th,date.w,mass.w,date.pupa,date.mass,mass.pupa,date.eclos,mass.eclos,sex,deformed,date.coc,date.remove,mass.remove,num.w.coc,num.w.larvae,wet,date.w.eclos,num.w.eclos,date.5th.2,mass.5th.2,date.5th.3,mass.5th.3,date.5th.4,mass.5th.4,date.6th.2,mass.6th.2,date.6th.3,mass.6th.3,date.6th.4,mass.6th.4,date.7th.2,mass.7th.2,,,date.out,mass.out,date.cull,notes
073,DC,wowe mongo,8/29/20,12834.3,Clayton,yes,yes,O,,yes,07/21/2020,1,07/28/2020,63.95,07/28/2020,1,,08/01/2020,185.2,08/05/2020,977.5,08/11/2020,3651.5,,,,,,,,,,,,,,,,,,,,,,08/18/2020,10008.5,,,,,08/25/2020,12249.6,,,,,,,08/29/2020,12834.3,,
074,DC,dead,,,Clayton,yes,no,O,07/29/2020,no,07/21/2020,1,07/28/2020,37.28,07/28/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075,DC,wander,8/13/20,9198.6,Clayton,no,yes,P,,yes,07/21/2020,1,07/28/2020,54.34,,,,08/01/2020,191.6,08/06/2020,1990.1,,,,,08/13/2020,9198.6,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discolored 7/28
076,DC,wander,8/12/20,9007.2,Clayton,no,no,P,,yes,07/21/2020,1,07/28/2020,47.57,,,,07/31/2020,282.2,08/05/2020,2269.9,,,,,08/12/2020,9007.2,,09/04/2020,3236,09/10/2020,1179.76,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077,DC,dead,,,Clayton,yes,yes,Q,07/30/2020,no,07/21/2020,1,07/28/2020,44.65,07/28/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078,DC,em,8/12/20,3232.11,Clayton,yes,no,Q,,yes,07/21/2020,1,07/28/2020,60.80,07/28/2020,2,,07/31/2020,261.1,08/04/2020,1374.7,,,,,,,,,,,,,,08/09/2020,08/12/2020,3232.11,197,2,no,08/15/2020,193,,,,,,,,,,,,,,,,,,,,
079,DC,wowe mongo,8/25/20,11357.2,Clayton,yes,yes,R,,yes,07/21/2020,1,07/28/2020,68.67,07/28/2020,1,,08/01/2020,227.2,08/05/2020,719.9,08/11/2020,3540.9,,,,,,,,,,,,,,,,,,,,,,08/18/2020,11382.3,,,,,08/25/2020,11357.2,,,,,,,08/29/2020,10349.3,,
080,DC,dead,,,Clayton,yes,no,R,07/29/2020,no,07/21/2020,1,07/28/2020,39.57,07/28/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081,DC,wander,8/11/20,8073.8,Clayton,no,yes,S,,yes,07/21/2020,1,07/28/2020,69.12,,,,07/30/2020,223.5,08/04/2020,1576.7,,,,,08/11/2020,8073.8,,08/31/2020,3025.87,09/08/2020,2109.11,f,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082,TB,dead,,,Clayton,yes,yes,W,07/30/2020,no,07/22/2020,1,07/28/2020,62.52,07/28/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083,TB,dead,,,Clayton,yes,no,W,07/29/2020,no,07/22/2020,1,07/28/2020,68.34,07/28/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084,TB,em,8/20/20,4547.89,Clayton,yes,yes,X,,yes,07/22/2020,1,07/28/2020,57.29,07/28/2020,2,,08/01/2020,266.7,08/05/2020,886.9,,,,,,,,,,,,,,08/16/2020,08/20/2020,4547.89,50,1,no,08/20/2020,43,08/14/2020,5058.8,,,,,,,,,,,,,,,,,,"bled 8/1, might be flipped with 145"
085,TB,dead,,,Clayton,yes,no,X,07/29/2020,no,07/22/2020,1,07/28/2020,39.22,07/28/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
